matrix_size,block_size,time,L1_DCM,L2_DCM
4096,128,35.4435,9989785293,34318431354
4096,256,34.4043,9162615230,23512271847
4096,512,38.3804,8758704323,19446306529
6144,128,121.555,33669148392,115877879231
6144,256,109.898,30910395208,79770521420
6144,512,107.341,29605557525,67811461595
8192,128,278.366,79876883391,275381836414
8192,256,393.966,73485458482,162255482749
8192,512,334.07,70238096557,136816927503
10240,128,560.801,155837959907,536590657454
10240,256,503.266,142587586063,371586004842
10240,512,500.28,136854805114,313300150561
