GOOOO!!!

Multiplication
600 0.207912
1000 1.928307
1400 5.669386
1800 20.024737
2200 41.996070
2600 72.292781
3000 118.558558

Line multiplication
600 0.237873
1000 1.108975
1400 3.285378
1800 6.942612
2200 12.797382
2600 21.000629
3000 32.367023


Time,L1_DCM,L2_DCM
0.198662,244788570,39275943
1.10924,1231051141,296042696
4.13316,3510146372,1472215982
18.4636,9086787384,7839958874
39.1114,17639718026,22454727227
69.9442,30899028414,50857403525
119.003,50314830117,95071155089

0.117593,27110837,56585270
0.51001,125852821,260569713
1.6189,346410788,695620417
3.59166,745289483,1412866770
7.21908,2072379463,2498433672
11.5873,4412439990,4111004452
16.7348,6780619566,6342268167

43.7305,17538563508,16033159779
145.142,59149439006,53809048400
346.274,140347627432,129824784728
673.694,273583665636,249779727782
